"year","name","country_code","population"
"1960","world","wld",3032019978
"1961","world","wld",3073077563
"1962","world","wld",3126066253
"1963","world","wld",3191186048
"1964","world","wld",3256700083
"1965","world","wld",3323623700
"1966","world","wld",3393699205
"1967","world","wld",3463147267
"1968","world","wld",3533536526
"1969","world","wld",3608235815
"1970","world","wld",3683676306
"1971","world","wld",3761307048
"1972","world","wld",3837726171
"1973","world","wld",3913217944
"1974","world","wld",3989385034
"1975","world","wld",4063806523
"1976","world","wld",4136393107
"1977","world","wld",4208770941
"1978","world","wld",4282341460
"1979","world","wld",4357793599
"1980","world","wld",4434021975
"1981","world","wld",4512268962
"1982","world","wld",4593454253
"1983","world","wld",4675367633
"1984","world","wld",4756998073
"1985","world","wld",4840155168
"1986","world","wld",4925801334
"1987","world","wld",5013576387
"1988","world","wld",5102293348
"1989","world","wld",5190965222
"1990","world","wld",5281340078
"1991","world","wld",5369210095
"1992","world","wld",5453393960
"1993","world","wld",5538448726
"1994","world","wld",5622575421
"1995","world","wld",5707533023
"1996","world","wld",5790454220
"1997","world","wld",5873071768
"1998","world","wld",5954810550
"1999","world","wld",6035284135
"2000","world","wld",6115108363
"2001","world","wld",6194460444
"2002","world","wld",6273526441
"2003","world","wld",6352677699
"2004","world","wld",6432374971
"2005","world","wld",6512602867
"2006","world","wld",6593623202
"2007","world","wld",6675130418
"2008","world","wld",6757887172
"2009","world","wld",6840591577
"2010","world","wld",6922947261
"2011","world","wld",7004011262
"2012","world","wld",7086993625
"2013","world","wld",7170961674
"2014","world","wld",7255653881
"2015","world","wld",7340548192
"2016","world","wld",7426103221
"2017","world","wld",7510990456
"2018","world","wld",7594270356